GEO_ID_2,GEO_ID,MSA,HH_TOT,HH_FAMILY,HH_MAR_FAM,HH_OTHER_FAM,HH_MALE_FAM,HH_FEMALE_FAM,HH_NON_FAMILY,HH_LIVING_ALONE,HH_NOT_LIVING_ALONE
1,0400000US01,Alabama,1848325,1238967,880942,358025,78073,279952,609358,532123,77235
2,0400000US02,Alaska,250969,167562,124649,42913,14733,28180,83407,64538,18869
3,0400000US04,Arizona,2412212,1581380,1142828,438552,131803,306749,830832,659485,171347
4,0400000US05,Arkansas,1138025,759924,558920,201004,50484,150520,378101,320642,57459
5,0400000US06,California,12717801,8732734,6245351,2487383,759047,1728336,3985067,3062512,922555
6,0400000US08,Colorado,2024468,1300972,1003324,297648,91627,206021,723496,560467,163029
7,0400000US09,Connecticut,1352583,895639,661596,234043,58815,175228,456944,378145,78799
8,0400000US10,Delaware,344022,230307,165607,64700,17088,47612,113715,91710,22005
9,0400000US11,District of Columbia,273390,118737,65383,53354,10502,42852,154653,119803,34850
10,0400000US12,Florida,7300494,4699888,3391659,1308229,338899,969330,2600606,2119042,481564
11,0400000US13,Georgia,3574362,2423535,1706506,717029,168974,548055,1150827,956577,194250
12,0400000US15,Hawaii,450572,313612,233837,79775,24840,54935,136960,106168,30792
13,0400000US16,Idaho,589320,406168,324510,81658,25859,55799,183152,147698,35454
14,0400000US17,Illinois,4786388,3124683,2302493,822190,218183,604007,1661705,1383686,278019
15,0400000US18,Indiana,2501937,1655043,1230230,424813,116108,308705,846894,701587,145307
16,0400000US19,Iowa,1236409,797481,631345,166136,51245,114891,438928,356751,82177
17,0400000US20,Kansas,1113472,729468,566559,162909,48857,114052,384004,319955,64049
18,0400000US21,Kentucky,1708499,1136718,836041,300677,82083,218594,571781,480564,91217
19,0400000US22,Louisiana,1727919,1128232,752359,375873,88598,287275,599687,507460,92227
20,0400000US23,Maine,553284,347579,270147,77432,24446,52986,205705,161447,44258
21,0400000US24,Maryland,2166389,1450292,1031573,418719,105011,313708,716097,585309,130788
22,0400000US25,Massachusetts,2549721,1620917,1195878,425039,104560,320479,928804,732066,196738
23,0400000US26,Michigan,3841148,2497834,1834569,663265,175804,487461,1343314,1115974,227340
24,0400000US27,Minnesota,2124745,1376549,1082532,294017,90762,203255,748196,600804,147392
25,0400000US28,Mississippi,1096593,749121,489805,259316,55222,204094,347472,302021,45451
26,0400000US29,Missouri,2364688,1530006,1141310,388696,101958,286738,834682,689714,144968
27,0400000US30,Montana,409394,255470,202065,53405,17734,35671,153924,124862,29062
28,0400000US31,Nebraska,736613,476627,373672,102955,30098,72857,259986,213141,46845
29,0400000US32,Nevada,1016709,651954,457627,194327,62536,131791,364755,285494,79261
30,0400000US33,New Hampshire,520251,347378,274432,72946,21982,50964,172873,132805,40068
31,0400000US34,New Jersey,3189486,2211531,1628432,583099,154212,428887,977955,820987,156968
32,0400000US35,New Mexico,763603,495031,344593,150438,43068,107370,268572,223689,44883
33,0400000US36,New York,7262279,4625960,3194010,1431950,360634,1071316,2636319,2155282,481037
34,0400000US37,North Carolina,3775581,2497993,1817338,680655,167799,512856,1277588,1059062,218526
35,0400000US38,North Dakota,299638,181864,145767,36097,12601,23496,117774,92487,25287
36,0400000US39,Ohio,4585084,2937598,2143896,793702,205848,587854,1647486,1375707,271779
37,0400000US40,Oklahoma,1455321,966009,712205,253804,73378,180426,489312,409587,79725
38,0400000US41,Oregon,1533430,971791,741463,230328,68744,161584,561639,427884,133755
39,0400000US42,Pennsylvania,4958859,3202874,2387911,814963,218161,596802,1755985,1463296,292689
40,0400000US44,Rhode Island,410602,257540,181097,76443,19401,57042,153062,124074,28988
41,0400000US45,South Carolina,1815094,1212645,857927,354718,82715,272003,602449,507973,94476
42,0400000US46,South Dakota,330858,212994,165991,47003,14911,32092,117864,97539,20325
43,0400000US47,Tennessee,2504556,1665445,1215967,449478,113241,336237,839111,704908,134203
44,0400000US48,Texas,9149196,6364104,4591193,1772911,466258,1306653,2785092,2287358,497734
45,0400000US49,Utah,906292,680007,554555,125452,38394,87058,226285,176971,49314
46,0400000US50,Vermont,257167,159457,126110,33347,10292,23055,97710,74021,23689
47,0400000US51,Virginia,3062783,2054416,1547758,506658,130767,375891,1008367,815144,193223
48,0400000US53,Washington,2668912,1722188,1329528,392660,119379,273281,946724,735202,211522
49,0400000US54,West Virginia,740890,479803,361652,118151,33962,84189,261087,222024,39063
50,0400000US55,Wisconsin,2299107,1469290,1136134,333156,102265,230891,829817,666869,162948
51,0400000US56,Wyoming,226865,147229,117355,29874,10771,19103,79636,63516,16120
