IP_Ratio,Sex,Age_Cat,Preval_None,Preval_Other,Preval_Major
IP_0_50,Male,Age_18_44,0.8896,0.0694,0.0409
IP_50_100,Male,Age_18_44,0.9074,0.059,0.0336
IP_100_150,Male,Age_18_44,0.9007,0.0648,0.0345
IP_150_200,Male,Age_18_44,0.9364,0.0481,0.0155
IP_200_250,Male,Age_18_44,0.9161,0.0596,0.0243
IP_250_300,Male,Age_18_44,0.9468,0.0392,0.014
IP_300_350,Male,Age_18_44,0.9818,0.0145,0.0037
IP_350_400,Male,Age_18_44,0.9471,0.0349,0.018
IP_400_450,Male,Age_18_44,0.9621,0.0045,0.0334
IP_450_500,Male,Age_18_44,0.9848,0.0022,0.013
IP_500_,Male,Age_18_44,0.9808,0.0157,0.0035
IP_0_50,Female,Age_18_44,0.8643,0.0743,0.0613
IP_50_100,Female,Age_18_44,0.8517,0.0834,0.0649
IP_100_150,Female,Age_18_44,0.8837,0.0581,0.0582
IP_150_200,Female,Age_18_44,0.8735,0.0843,0.0422
IP_200_250,Female,Age_18_44,0.9049,0.0537,0.0414
IP_250_300,Female,Age_18_44,0.9458,0.0388,0.0154
IP_300_350,Female,Age_18_44,0.9567,0.0389,0.0043
IP_350_400,Female,Age_18_44,0.9511,0.0306,0.0184
IP_400_450,Female,Age_18_44,0.9522,0.0142,0.0336
IP_450_500,Female,Age_18_44,0.9333,0.0361,0.0306
IP_500_,Female,Age_18_44,0.9587,0.02,0.0212
IP_0_50,Male,Age_45_64,0.7638,0.1639,0.0723
IP_50_100,Male,Age_45_64,0.8052,0.1201,0.0747
IP_100_150,Male,Age_45_64,0.8284,0.1269,0.0447
IP_150_200,Male,Age_45_64,0.8396,0.084,0.0764
IP_200_250,Male,Age_45_64,0.9036,0.0574,0.039
IP_250_300,Male,Age_45_64,0.901,0.0551,0.0439
IP_300_350,Male,Age_45_64,0.9081,0.0592,0.0327
IP_350_400,Male,Age_45_64,0.9115,0.0693,0.0192
IP_400_450,Male,Age_45_64,0.9783,0.0204,0.0013
IP_450_500,Male,Age_45_64,0.9655,0.0218,0.0128
IP_500_,Male,Age_45_64,0.9699,0.0124,0.0177
IP_0_50,Female,Age_45_64,0.7009,0.1537,0.1453
IP_50_100,Female,Age_45_64,0.7094,0.1685,0.1221
IP_100_150,Female,Age_45_64,0.7964,0.0914,0.1122
IP_150_200,Female,Age_45_64,0.8297,0.0899,0.0804
IP_200_250,Female,Age_45_64,0.8937,0.0521,0.0542
IP_250_300,Female,Age_45_64,0.8636,0.0848,0.0516
IP_300_350,Female,Age_45_64,0.9638,0.0296,0.0066
IP_350_400,Female,Age_45_64,0.9513,0.0379,0.0108
IP_400_450,Female,Age_45_64,0.9733,0.0246,0.0022
IP_450_500,Female,Age_45_64,0.9043,0.0659,0.0298
IP_500_,Female,Age_45_64,0.9525,0.0336,0.0139
IP_0_50,Male,Age_65_,0.8415,0.1224,0.0361
IP_50_100,Male,Age_65_,0.8687,0.1069,0.0244
IP_100_150,Male,Age_65_,0.8927,0.0766,0.0308
IP_150_200,Male,Age_65_,0.9344,0.0412,0.0244
IP_200_250,Male,Age_65_,0.9028,0.0594,0.0379
IP_250_300,Male,Age_65_,0.9506,0.0442,0.0052
IP_300_350,Male,Age_65_,0.9549,0.0265,0.0186
IP_350_400,Male,Age_65_,0.9508,0.0212,0.028
IP_400_450,Male,Age_65_,0.956,0.0399,0.0041
IP_450_500,Male,Age_65_,0.9874,0.0126,0
IP_500_,Male,Age_65_,0.9883,0.0117,0
IP_0_50,Female,Age_65_,0.7008,0.2087,0.0905
IP_50_100,Female,Age_65_,0.8192,0.1329,0.0479
IP_100_150,Female,Age_65_,0.8633,0.1125,0.0242
IP_150_200,Female,Age_65_,0.9146,0.064,0.0214
IP_200_250,Female,Age_65_,0.9263,0.0455,0.0282
IP_250_300,Female,Age_65_,0.9173,0.0669,0.0158
IP_300_350,Female,Age_65_,0.9426,0.0303,0.0271
IP_350_400,Female,Age_65_,0.9372,0.0376,0.0252
IP_400_450,Female,Age_65_,0.897,0.103,0
IP_450_500,Female,Age_65_,0.9531,0.0469,0
IP_500_,Female,Age_65_,0.9657,0.0244,0.0099